id,smi
CHEMBL576714,C=C(C)[C@@H]1CC[C@]2(NC(=O)NCC(O)CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
CHEMBL1209002,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(NC(=O)c2ccc(C(=O)O)cc2)c(C(F)(F)F)n1
CHEMBL1209108,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(NCc2ccc(C(=O)O)cc2)c(C(F)(F)F)n1
CHEMBL1765565,CC[C@@H]1[C@@H]2C[C@H](O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@H]3[C@H](C)CCNC(=O)OC/C=C/c3ccccc3)[C@@H]2[C@@H]1O
CHEMBL1668248,O=C(O)CCc1ccc(NC(=O)[C@H](C2CCCCC2)n2c(-c3ccc(Cl)cc3)nc3cc(F)c(F)cc32)c(F)c1
CHEMBL1668243,O=C(O)c1ccc(NC(=O)[C@H](C2CCCCC2)n2c(-c3ccc(Cl)cc3)nc3cc(F)c(F)cc32)c(Cl)c1
CHEMBL1668257,O=C(Nc1ccc(-c2nnn[nH]2)cc1F)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21
CHEMBL1668249,O=C(Nc1ccc(OC2(C(=O)O)CC2)cc1F)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21
CHEMBL3138036,C#CC[C@@H]1C2C[C@H](O)CC[C@]2(C)[C@H]2CC[C@]3(C)C([C@H](C)CCC(=O)O)CC[C@H]3[C@@H]2[C@@H]1O
CHEMBL3824163,O=C(O)c1cncc(C2CC2c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3C3CC3)cc2Cl)c1
CHEMBL3823467,O=C(O)c1cccc([C@H]2C[C@](OCCO)(c3ccc(OCc4c(-c5c(Cl)cccc5Cl)noc4C4CC4)cc3Cl)C2)c1
CHEMBL4536937,CC(=O)/C=C/C[C@@H](C)C1=C2C[C@H](O)[C@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]3(C)[C@@]2(C)CC1
CHEMBL2158164,Cc1cc(OCc2c(-c3c(Cl)cncc3Cl)noc2C(C)C)ccc1-c1ccc2c(c1)c(C(=O)O)cn2C
CHEMBL1209227,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1cnc(N(C)Cc2ccc(C(=O)O)cc2)c(Cl)c1
CHEMBL568014,CC(C)OC(=O)C1CN(C(=O)c2ccc(F)c(F)c2)CC(C)(C)c2cc(C#N)[nH]c21
CHEMBL2032446,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(N(C(=O)c2cccc(C(=O)O)c2)c2cccc3ccccc23)c(Cl)c1
CHEMBL1209230,CC(c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)nc1C(F)(F)F)N(C)c1ccc(C(=O)O)cc1
CHEMBL1209175,CCN(Cc1ccc(C(=O)O)cc1)c1ccc(OCc2c(-c3c(Cl)cccc3Cl)noc2C2CC2)nc1C(F)(F)F
CHEMBL1835049,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(-c2ccc3[nH]c(C(=O)O)cc3c2)cc1
CHEMBL564917,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc2c(c1)CN(c1cccc(C(=O)O)c1)C2=O
CHEMBL560805,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc2sc(-c3ccc(C(=O)O)cc3)cc2c1
CHEMBL466323,Cc1cc(OCc2c(-c3c(Cl)cncc3Cl)noc2C(C)C)ccc1-c1ccc2c(C(=O)O)cn(C)c2c1
CHEMBL494195,CC(C)c1onc(COc2cccc(Cl)c2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1
CHEMBL466026,CC(C)c1onc(COc2ccc(Cl)cc2)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1
CHEMBL466621,CC(C)c1onc(CSc2c(Cl)cccc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1
CHEMBL558724,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc2[nH]c(-c3cccc(C(=O)O)c3)cc2c1
CHEMBL551345,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc2cc(-c3ccc(C(=O)O)cc3)ccc2c1
CHEMBL551019,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc2cc(-c3ccc(C(=O)O)cc3)sc2c1
CHEMBL551344,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc2nc(-c3cccc(C(=O)O)c3)sc2c1
CHEMBL466523,Cc1cc(OCc2c(-c3c(Cl)c[n+]([O-])cc3Cl)noc2C(C)C)ccc1-c1ccc2c(C(=O)O)cn(C)c2c1
CHEMBL454138,CC(C)OC(=O)C1=CN(C(=O)c2ccc(F)c(F)c2)CC(C)(C)c2c1[nH]c1ccccc21
CHEMBL583224,C=C(C)[C@@H]1CC[C@]2(C(N)=O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
CHEMBL576715,C=C(C)[C@@H]1CC[C@]2(C(=O)NCCCCCO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
CHEMBL466439,CC(C)c1onc(COc2cccc3ccccc23)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1
